title,artist,genre,year,salesPoint,category,country,currency,previewUrl,artworkUrl,trackViewUrl
빌려온 고양이 (Do the Dance),아일릿,KPOP,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/1f/e4/ec/1fe4ec8d-0a55-5366-c3f7-47e820329d20/mzaf_901005315216648099.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/e4/bc/4d/e4bc4da3-0013-9949-8e54-0eede523f9d4/198704525001_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%B9%8C%EB%A0%A4%EC%98%A8-%EA%B3%A0%EC%96%91%EC%9D%B4-do-the-dance/1817427556?i=1817427565&uo=4
STYLE,Hearts2Hearts,KPOP,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7d/a5/22/7da52235-4936-089b-cca7-57b39bd57901/mzaf_16582803519496058674.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/05/f3/0b/05f30b30-22fb-3c21-c497-8fd8829f2004/888735952135.png/100x100bb.jpg,https://music.apple.com/kr/album/style/1819694545?i=1819694546&uo=4
TOMBOY,i-dle,KPOP,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b1/2d/68/b12d68cc-43c0-b624-e436-a37429949e11/mzaf_2502016916124139192.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ce/04/82/ce0482db-b035-5eed-ee2e-23999b4b2051/cover_KM0014878_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/tomboy/1613139921?i=1613139922&uo=4
Lucky Girl Syndrome,아일릿,KPOP,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/22/b7/4e/22b74e6f-8297-bcef-7a97-042fd80fb10e/mzaf_10835128423678862503.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/lucky-girl-syndrome/1734500886?i=1734501146&uo=4
ANTIFRAGILE,르세라핌,KPOP,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/9c/5b/33/9c5b33cb-f6c0-1cf5-61c4-ac465bce2b7b/mzaf_16974808219393622487.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/c8/79/da/c879dadf-db1e-95a5-caf5-b18c7c81d2b6/192641874413_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/antifragile/1647830231?i=1647830390&uo=4
Feel My Rhythm,레드벨벳,KPOP,2022,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/d9/5b/93/d95b9377-349a-5048-bdec-0a178bdb9ca2/mzaf_377217071686787202.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/bc/ac/99/bcac9968-35ae-0cea-ce08-9eb11600532b/RV_Feel_My_Rhythm-Cover_4000x4000.jpg/100x100bb.jpg,https://music.apple.com/kr/album/feel-my-rhythm/1614179708?i=1614179710&uo=4
"이브, 프시케 그리고 푸른 수염의 아내",르세라핌,KPOP,2023,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/83/8c/c7/838cc7cc-e9e8-799d-e3db-16d893a08461/mzaf_1148336731883147937.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/27/13/c3/2713c389-4f01-b5e7-59f5-3204b37cb594/196922444470_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%9D%B4%EB%B8%8C-%ED%94%84%EC%8B%9C%EC%BC%80-%EA%B7%B8%EB%A6%AC%EA%B3%A0-%ED%91%B8%EB%A5%B8-%EC%88%98%EC%97%BC%EC%9D%98-%EC%95%84%EB%82%B4/1682502020?i=1682502483&uo=4
고민중독,QWER,KPOP,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ca/f2/aa/caf2aa58-40ef-8460-cf65-0f97848da839/mzaf_11004362433324424334.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/75/54/38/75543853-92c7-064c-fe26-2cbf5eecc6d8/cover_KM0019655_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EA%B3%A0%EB%AF%BC%EC%A4%91%EB%8F%85/1737366584?i=1737366585&uo=4
뻔한 발라드,BIG Naughty,발라드,2023,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/82/19/c4/8219c425-2849-9e19-25d4-ef8a35b8f426/mzaf_8853503981395777031.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/87/e2/38/87e2385a-9dfe-dbce-ad93-620d5bbc219b/8804775264771.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%BB%94%ED%95%9C-%EB%B0%9C%EB%9D%BC%EB%93%9C/1674117247?i=1674117250&uo=4
다시 사랑한다면,정승환,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0f/1b/ab/0f1babb4-3dee-4a1d-e377-52f9462ee46b/mzaf_6315545531750122673.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f5/f0/fa/f5f0fa8b-0ad6-80ea-0a48-f7ff7308355d/cover_KM0023391_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%8B%A4%EC%8B%9C-%EC%82%AC%EB%9E%91%ED%95%9C%EB%8B%A4%EB%A9%B4/1837062982?i=1837062983&uo=4
